order,batch,qid,Type,Question,Gold Answer,Evidence
64,2,357,Single,What type of gameplay does Jareth enjoy after a big challenge?,Relaxing gameplay,20260922_12:00
65,2,181,Single,Why does LiHua bring up Adam Smith in the band's conversation on 20260616?,LiHua thinks it is really nice for Mr. Smith to rent this basement to us for practice,20260616_10:40
66,2,34,Multi,What was the content of the first-ever delivery from Hailey to LiHua and what was LiHua's opinion about it?,a fresh sourdough loaf and a bottle of milk and LiHua praises Hailey's bread and milk,20260317_08:00<and>20260318_15:00
67,2,133,Single,What new song does the Jolly band decide to work on for the jam session according to their discussion on 20260410?,Stand By Me,20260410_11:00
68,2,600,Null,"What type of feedback did Li Hua provide to Chae regarding the community medical knowledge lecture, and what is Wolfgang's role in the band rehearsal?",Insufficient information,N/A
69,2,151,Single,What percentage discount is Hailey Johnson offering for Mother's Day pastries?,15%,20260508_08:00
70,2,105,Single,When did Li Hua inform Adam Smith that the rent was transferred?,20260301_10:00,20260301_10:00
71,2,283,Single,Who does EmilyBurnett think is a standout character in the Game of Thrones series?,Tyrion Lannister,20260915_12:00
72,2,216,Single,What new components are being added to the garden project as Turalyon announces it on 20260806?,incorporating sustainable practices like recycling and composting into our renovation project,20260806_16:30
73,2,623,Null,"What type of protein supplements did Li Hua use after the workout on September 19, 2026?",Insufficient information,N/A
74,2,625,Null,What specific measurements did Li Hua take for the window size before the installation of the curtain?,Insufficient information,N/A
75,2,442,Single,What does Lachlan find haunting about Cersei's end?,How much she fought to hold onto her power,20261010_10:10
76,2,103,Single,What type of instrument does Li Hua play in the basement?,guitar,20260223_17:00
77,2,268,Single,What funny glitch did Fionnuala experience in the game Red Dead Redemption 2?,Arthur ended up floating in mid-air after a cutscene,20260909_10:00
78,2,619,Null,What were Li Hua's specific fitness goals and how did Jennifer's advice on nutrition influence them during his training for a marathon?,Insufficient information,N/A
79,2,8,Multi,Did Li Hua send a message to Jennifer asking if he can turn the Thursday class to Friday after he requested a change in his training schedule for Thursday?,Yes,20260211_19:00<and>20260309_12:00
80,2,622,Null,What food did Emily order for the group's discussion about Game of Thrones characters?,Insufficient information,N/A
81,3,434,Single,How does LiHua feel about the soreness in their arm muscles?,It feels good and they are ready for the next session,20261008_14:00
82,3,627,Null,What were the specific details of the negotiation between Jake Watson and Li Hua regarding player transfers from FC Barcelona to FC Bayern Munich?,Insufficient information,N/A
83,3,401,Single,What does ThaneChambers think about Sekiro: Shadows Die Twice?,It's amazing and worth grabbing,20261001_20:00
84,3,577,Null,What specific suggestions did Li Hua have regarding the construction schedule during the last community meeting?,Insufficient information,N/A
85,3,455,Single,What does Saffron say Cersei was blinded by?,Her need for control,20261010_10:10
86,3,519,Single,What time do they agree to meet for pizza?,around 7,20261015_15:00
87,3,41,Multi,Who does LiHua want to invite to the photo exhibition and who goes with him (during August)?,Wolfgang,20260801_19:00<and>20260805_16:00
88,3,338,Single,Who will bring the tools for the curtain installation?,AdamSmith,20260921_16:00
89,3,580,Null,What were the specific requirements that the customers modified and how did Li Hua respond to each change?,Insufficient information,N/A
90,3,416,Single,Who does Jake believe has the potential to be a game-changer for Barca?,Pedri,20261005_10:05
91,3,63,Single,When was the first time Li Hua had dinner with Wolfgang this year?,20260108,20260108_11:00
92,3,361,Single,Which character does LiHua mention as their favorite and describe as inspiring?,Galadriel,20260922_17:00
93,3,421,Single,What aspect of Guardiola's career does JakeWatson admire?,The transformation of the teams he's managed,20261006_10:00
94,3,42,Multi,Is the time interval between LiHua asking JakeWatson to help him with dribbling skills and Li Hua asking the group about classic must-watch UCL matches more than 2 days (restrict your search within August)?,Yes,20260819_10:00<and>20260821_15:00
95,3,556,Single,What event is the community organizing?,a weekend picnic,20261024_11:00
96,3,495,Single,What does Fionnuala think about matchmaking systems?,they can make or break the experience,20261014_14:00
97,3,594,Null,"What specific feedback did Yuriko give to Li Hua about the demo website during their meeting at the cafe ""Central Perk"" on Thursday morning, and how did Li Hua respond to her comments?",Insufficient information,N/A
98,3,47,Multi,Is the time interval more than 7 days between Adam asking LiHua about the size of the fridge and Adam informing LiHua that the fridge will be delivered at 4pm next day?,Yes,20261116_16:00<and>20261123_23:00
99,3,9,Multi,Did Li Hua ask Yuriko to play music together before Wolfgang proposed to pause playing musical instruments?,Yes,20260318_15:10<and>20260416_21:00
100,3,11,Multi,Did Wolfgang's promotion announcement occur before he invited Li Hua for dinner on 20260430?,Yes,20260428_18:30<and>20260930_16:00
