question,type,n_full,n_kept,n_dropped,kept,dropped
Did Wolfgang's promotion announcement occur before he invited Li Hua for dinner on 20260430?,Multi,3,3,0,"[""Wolfgang"", ""Li Hua"", ""20260430""]",[]
Did Turalyon announce the construction updates and feedback from residents after Illidan Stormrage complained about the construction noise?,Multi,4,4,0,"[""Turalyon"", ""Illidan Stormrage"", ""construction updates"", ""construction noise""]",[]
Did Hailey announce the new line of high-protein breads before inviting Li Hua to the special bakery event?,Multi,4,4,0,"[""Hailey"", ""new line of high-protein breads"", ""Li Hua"", ""special bakery event""]",[]
Did Chae tell Li Hua that taking a warm shower before sleeping can improve the sleep quality before sharing the neuroscience article with her?,Multi,5,5,0,"[""Chae"", ""Li Hua"", ""warm shower"", ""sleep quality"", ""neuroscience article""]",[]
Did Jennifer remind Li Hua about proper nutrition and hydration before Jake shared his tips for staying hydrated during the match?,Multi,6,5,1,"[""Jennifer"", ""Li Hua"", ""Jake"", ""nutrition"", ""hydration""]","[""match""]"
Did the group members talk about their favorite characters in the TV series Game of Thrones after Emily started a vote on the most hateable character?,Multi,4,4,0,"[""Game of Thrones"", ""Emily"", ""vote"", ""group members""]",[]
Question: Did Jennifer remind Li Hua to consume enough protein after the workout before she shared tips with the group members on common mistakes to avoid after an intense workout?,Multi,5,5,0,"[""Jennifer"", ""Li Hua"", ""protein"", ""workout"", ""group members""]",[]
Did Li Hua ask Thane about his opinion on The Last of Us before he asked about Sekiro: Shadows Die Twice?,Multi,4,4,0,"[""Li Hua"", ""Thane"", ""The Last of Us"", ""Sekiro: Shadows Die Twice""]",[]
Did Jake Watson and Li Hua discuss the classic matches between FC Barcelona and FC Bayern Munich before the group members discussed the classic matches between FC Barcelona and Real Madrid?,Multi,5,5,0,"[""Jake Watson"", ""Li Hua"", ""FC Barcelona"", ""FC Bayern Munich"", ""Real Madrid""]",[]
Did the group members debate about the best football manager in the Premier League history after they debated if Pep Guardiola is the greatest soccer manager in football history?,Multi,5,5,0,"[""football manager"", ""Premier League"", ""Pep Guardiola"", ""soccer manager"", ""group members""]",[]
Did the discussion about Jaime Lannister's character occur after the discussion about Cersei Lannister's character?,Multi,3,3,0,"[""Jaime Lannister"", ""Cersei Lannister"", ""character discussion""]",[]
Did Wolfgang ask Li Hua if she wants to have pizza for dinner after work today before he wondered if she wanted to have Sichuan hot pot for dinner tonight?,Multi,6,5,1,"[""Wolfgang"", ""Li Hua"", ""pizza"", ""dinner"", ""work""]","[""Sichuan hot pot""]"
Did Jennifer challenge Li Hua to do 60 pull-ups in a training session after she challenged him to do 100 pushups?,Multi,5,5,0,"[""Jennifer"", ""Li Hua"", ""60 pull-ups"", ""training session"", ""100 pushups""]",[]
Did Li Hua ask Jennifer Moore for book recommendations on fitness nutrition before she announced the special guest speaker at the gym?,Multi,6,5,1,"[""Li Hua"", ""Jennifer Moore"", ""book recommendations"", ""fitness nutrition"", ""gym""]","[""special guest speaker""]"
Did Jake share common knowledge about offside in soccer with Li Hua before he passed practical techniques to Li Hua on how to avoid offside for a forward?,Multi,4,4,0,"[""Jake"", ""Li Hua"", ""offside in soccer"", ""practical techniques""]",[]
Did Wolfgang arrive in Hong Kong after he informed Li Hua about his upcoming trip?,Multi,4,4,0,"[""Wolfgang"", ""Hong Kong"", ""Li Hua"", ""trip""]",[]
"What time does Li Hua watch the movie ""Overwatch 3""?",Multi,2,2,0,"[""Li Hua"", ""Overwatch 3""]",[]
"Who does Li Hua go to watch the movie ""Overwatch 3"" with?",Multi,3,3,0,"[""Li Hua"", ""Overwatch 3"", ""movie""]",[]
Has Wolfgang ever been to Hong Kong?,Multi,2,2,0,"[""Wolfgang"", ""Hong Kong""]",[]
Who knows about Wolfgang going to Hong Kong?,Multi,2,2,0,"[""Wolfgang"", ""Hong Kong""]",[]
Who wished Li Hua a happy Lunar New Year?,Multi,2,2,0,"[""Li Hua"", ""Lunar New Year""]",[]
Who introduced the bread delivery service and recommend Alice for the delivery?,Multi,2,2,0,"[""bread delivery service"", ""Alice""]",[]
What is the opportunity that makes Wolfgang and Yuriko acquaitances?,Multi,3,3,0,"[""Wolfgang"", ""Yuriko"", ""acquaintances""]",[]
What was the content of the first-ever delivery from Hailey to LiHua and what was LiHua's opinion about it?,Multi,5,5,0,"[""Hailey"", ""LiHua"", ""first-ever delivery"", ""content"", ""opinion""]",[]
What opportunity did LiHua create for Chae to meet Wolfgang and Yuriko?,Multi,4,4,0,"[""LiHua"", ""Chae"", ""Wolfgang"", ""Yuriko""]",[]
What special offerings did Hailey have for her backery shop in the month of May?,Multi,3,3,0,"[""Hailey"", ""backery shop"", ""May""]",[]
What feedbacks does Hailey ask from LiHua in July?,Multi,4,4,0,"[""Hailey"", ""LiHua"", ""July"", ""feedbacks""]",[]
How long does it take in total from LiHua planning on getting the air-conditioner to the air-conditioner been installed?,Multi,4,4,0,"[""LiHua"", ""air-conditioner"", ""planning"", ""installed""]",[]
Did it take more than 3 weeks from LiHua planning on getting the air-conditioner to the air-conditioner been actually installed?,Multi,5,5,0,"[""LiHua"", ""air-conditioner"", ""planning"", ""installed"", ""3 weeks""]",[]
Did it take more than a week from Adam asking LiHua about the ideal installation date to Adam reminding LiHua about the contractor team installing air-conditioner at 18:00?,Multi,6,5,1,"[""Adam"", ""LiHua"", ""ideal installation date"", ""contractor team"", ""air-conditioner""]","[""18:00""]"
Who does LiHua want to invite to the photo exhibition and who goes with him (during August)?,Multi,3,3,0,"[""LiHua"", ""photo exhibition"", ""August""]",[]
Is the time interval between LiHua asking JakeWatson to help him with dribbling skills and Li Hua asking the group about classic must-watch UCL matches more than 2 days (restrict your search within August)?,Multi,5,5,0,"[""LiHua"", ""JakeWatson"", ""dribbling skills"", ""UCL matches"", ""August""]",[]
Is the time interval more than 3 days between LiHua asking Adam to help him install a curtain on the basement window and Adam asking LiHua to measure the size of the window?,Multi,6,5,1,"[""LiHua"", ""Adam"", ""curtain"", ""basement window"", ""time interval""]","[""3 days""]"
Is the time interval more than 7 days between Adam asking LiHua to measure the size of the window and Adam informing Li Hua that he has booked the curtain of the right size?,Multi,6,5,1,"[""Adam"", ""LiHua"", ""window size"", ""curtain"", ""7 days""]","[""time interval""]"
Is the time interval more than 3 days between LiHua confirming that he has received the curtain and Adam asking LiHua if the curtain is all good?,Multi,4,4,0,"[""LiHua"", ""Adam"", ""curtain"", ""time interval""]",[]
Is the time interval more than 3 days between LiHua first asking Adam if he can buy a small fridge for the basement and Adam asking LiHua about the size of the fridge?,Multi,6,5,1,"[""LiHua"", ""Adam"", ""small fridge"", ""basement"", ""time interval""]","[""3 days""]"
Is the time interval more than 7 days between Adam asking LiHua about the size of the fridge and Adam informing LiHua that the fridge will be delivered at 4pm next day?,Multi,6,5,1,"[""Adam"", ""LiHua"", ""fridge size"", ""fridge delivery"", ""4pm next day""]","[""7 days""]"
Wolfgang suddenly becomes very concerned about good body shape and healthy food choices in December. What are the two conversations he had with LiHua in December that reflect this?,Multi,6,5,1,"[""Wolfgang"", ""body shape"", ""healthy food choices"", ""December"", ""LiHua""]","[""conversations""]"
Did Li Hua agree to have dinner with Wolfgang after he told Wolfgang about the lunch arrangement?,Multi,4,4,0,"[""Li Hua"", ""Wolfgang"", ""dinner"", ""lunch arrangement""]",[]
Did Li Hua ask Wolfgang Schulz for a recommendation on a gym or fitness center before asking Jennifer Moore for book recommendations on fitness nutrition?,Multi,7,5,2,"[""Li Hua"", ""Wolfgang Schulz"", ""gym"", ""fitness center"", ""Jennifer Moore""]","[""book recommendations"", ""fitness nutrition""]"
Did Li Hua ask Wolfgang Schulz if he wants to go to the gym together before Jennifer reminded Li Hua to participate in the gym's membership feedback activity?,Multi,5,5,0,"[""Li Hua"", ""Wolfgang Schulz"", ""Jennifer"", ""gym"", ""membership feedback activity""]",[]
Did Li Hua send a message to Wolfgang Schulz saying that he has prepared all the delicious food for tonight's Chinese Lunar New Year before Wolfgang sent a message to Li Hua wishing him a happy Lunar New Year?,Multi,3,3,0,"[""Li Hua"", ""Wolfgang Schulz"", ""Chinese Lunar New Year""]",[]
Did Li Hua provide feedback to Jennifer Moore on his new meal plan before he asked her for advice on a healthy meal plan?,Multi,3,3,0,"[""Li Hua"", ""Jennifer Moore"", ""meal plan""]",[]
Did Li Hua's complaint about the customer who modifies their requirements occur before Wolfgang comforted him?,Multi,5,5,0,"[""Li Hua"", ""complaint"", ""customer"", ""modifies requirements"", ""Wolfgang""]",[]
Did Adam Smith send Li Hua a reminder about the upcoming rent due date before Li Hua sent a message about having already transferred the rent on 20260301?,Multi,4,4,0,"[""Adam Smith"", ""Li Hua"", ""rent due date"", ""20260301""]",[]
Did Li Hua share a blog post about his recent fitness achievements after Jennifer sent him a motivational message?,Multi,5,5,0,"[""Li Hua"", ""blog post"", ""fitness achievements"", ""Jennifer"", ""motivational message""]",[]
Did Li Hua send a follow-up message to Jennifer before she asked him about his latest sleeping schedule?,Multi,4,4,0,"[""Li Hua"", ""Jennifer"", ""follow-up message"", ""sleeping schedule""]",[]
Did Li Hua ask Adam Smith about placing potted plants in the basement before he asked about decorating the basement?,Multi,5,5,0,"[""Li Hua"", ""Adam Smith"", ""potted plants"", ""basement"", ""decorating""]",[]
Did Li Hua ask Wolfgang for advice on renovating the basement before he invited Adam Smith to check the progress of the basement renovation?,Multi,4,4,0,"[""Li Hua"", ""Wolfgang"", ""Adam Smith"", ""basement renovation""]",[]
Did Li Hua tell Wolfgang about making a new friend before Yuriko reminded the group members to meet for the music festival?,Multi,5,5,0,"[""Li Hua"", ""Wolfgang"", ""Yuriko"", ""group members"", ""music festival""]",[]
"Did Yuriko tell Li Hua about booking a seat at the ""Central Perk"" cafe before Li Hua sent her a message to confirm the details of their next meeting?",Multi,4,4,0,"[""Yuriko"", ""Li Hua"", ""Central Perk"", ""booking a seat""]",[]
When does Li Hua ask Jennifer Moore about adjusting the protein in her meal plan?,Multi,4,4,0,"[""Li Hua"", ""Jennifer Moore"", ""protein"", ""meal plan""]",[]
"What time does Li Hua watch the movie ""Overwatch 3""?",Multi,2,2,0,"[""Li Hua"", ""Overwatch 3""]",[]
"Who does Li Hua go to watch the movie ""Overwatch 3"" with?",Multi,2,2,0,"[""Li Hua"", ""Overwatch 3""]",[]
Li Hua has a difficult client. When did he solve that client's project?,Multi,3,3,0,"[""Li Hua"", ""difficult client"", ""client's project""]",[]
What time will Li Hua and Wolfgang meet for breakfast on the morning of the 9th?,Null,4,4,0,"[""Li Hua"", ""Wolfgang"", ""breakfast"", ""the 9th""]",[]
What type of equipment does Wolfgang Schulz use when he works out at the gym?,Null,4,4,0,"[""Wolfgang Schulz"", ""gym"", ""equipment"", ""workout""]",[]
"What type of exercise does Li Hua prefer to do at the gym, and what time does Wolfgang usually go to the gym?",Null,3,3,0,"[""Li Hua"", ""Wolfgang"", ""gym""]",[]
What type of traditional games did Wolfgang Schulz play with Li Hua during the Lunar New Year celebration?,Null,4,4,0,"[""Wolfgang Schulz"", ""Li Hua"", ""traditional games"", ""Lunar New Year celebration""]",[]
"What did Li Hua eat for dinner on January 20, 2026?",Null,3,3,0,"[""Li Hua"", ""dinner"", ""January 20, 2026""]",[]
What specific suggestions did Li Hua have regarding the construction schedule during the last community meeting?,Null,3,3,0,"[""Li Hua"", ""construction schedule"", ""community meeting""]",[]
What movie did Li Hua and Wolfgang decide to watch together on New Year's Eve 2026?,Null,4,4,0,"[""Li Hua"", ""Wolfgang"", ""New Year's Eve 2026"", ""movie""]",[]
What dish did Li Hua order for dessert after having Sichuan hot pot with Wolfgang Schulz?,Null,4,4,0,"[""Li Hua"", ""dessert"", ""Sichuan hot pot"", ""Wolfgang Schulz""]",[]
What were the specific requirements that the customers modified and how did Li Hua respond to each change?,Null,4,4,0,"[""customers"", ""requirements"", ""Li Hua"", ""change""]",[]
"What payment method did Li Hua use to purchase groceries from the store on April 15, 2026?",Null,5,5,0,"[""Li Hua"", ""groceries"", ""store"", ""April 15, 2026"", ""payment method""]",[]
What specific diet did Li Hua follow to achieve his fitness results that Jennifer Moore recommended?,Null,4,4,0,"[""Li Hua"", ""Jennifer Moore"", ""diet"", ""fitness results""]",[]
What alternative training sports does Li Hua consider besides the current routine mentioned in his conversation with Jennifer?,Null,4,4,0,"[""Li Hua"", ""Jennifer"", ""alternative training sports"", ""current routine""]",[]
What type of diet is Li Hua following to support his training regimen and sleep schedule?,Null,4,4,0,"[""Li Hua"", ""diet"", ""training regimen"", ""sleep schedule""]",[]
What type of protein shake does Li Hua prefer to drink before his workout sessions?,Null,3,3,0,"[""Li Hua"", ""protein shake"", ""workout sessions""]",[]
What specific brand of protein supplement does Jennifer recommend for Li Hua's weight loss journey?,Null,4,4,0,"[""Jennifer"", ""Li Hua"", ""protein supplement"", ""weight loss journey""]",[]
What specific colors of paint does Li Hua plan to use for the basement walls after decorating with potted plants?,Null,4,4,0,"[""Li Hua"", ""basement walls"", ""paint"", ""potted plants""]",[]
What color did Li Hua decide to paint the walls of the basement after completing the renovation?,Null,3,3,0,"[""Li Hua"", ""basement"", ""renovation""]",[]
"What specific design features did Li Hua suggest for Yuriko's studio homepage during their meeting at ""Central Perk""?",Null,5,5,0,"[""Li Hua"", ""Yuriko"", ""studio homepage"", ""Central Perk"", ""design features""]",[]
What is the name of the concert that Wolfgang and Li Hua will attend on March 7th?,Null,4,4,0,"[""Wolfgang"", ""Li Hua"", ""March 7th"", ""concert""]",[]
What type of cake does Li Hua plan to bring to the meeting with Yuriko to celebrate her studio's homepage redesign?,Null,3,3,0,"[""Li Hua"", ""Yuriko"", ""studio's homepage redesign""]",[]
What color did Li Hua paint his house before the community garden renovation began?,Null,3,3,0,"[""Li Hua"", ""house"", ""community garden renovation""]",[]
What specific dietary changes did Li Hua implement in his training regimen as a result of Jennifer's advice on endurance and flexibility?,Null,6,5,1,"[""Li Hua"", ""training regimen"", ""Jennifer"", ""endurance"", ""flexibility""]","[""dietary changes""]"
"What specific feedback did Yuriko give to Li Hua about the demo website during their meeting at the cafe ""Central Perk"" on Thursday morning, and how did Li Hua respond to her comments?",Null,5,5,0,"[""Yuriko"", ""Li Hua"", ""demo website"", ""Central Perk"", ""Thursday morning""]",[]
What is the exact reason for Li Hua's unexpected work meeting on Thursday?,Null,3,3,0,"[""Li Hua"", ""work meeting"", ""Thursday""]",[]
"What toppings did Hailey put on the bread for Li Hua's next delivery, and what is the name of the bakery she gets her bread from?",Null,5,5,0,"[""Hailey"", ""Li Hua"", ""bread"", ""bakery"", ""toppings""]",[]
What is the favorite type of music that Li Hua and Yuriko plan to play together?,Null,3,3,0,"[""Li Hua"", ""Yuriko"", ""music""]",[]
What are the specific reasons why Li Hua prefers classical music over pop music in their discussions?,Null,3,3,0,"[""Li Hua"", ""classical music"", ""pop music""]",[]
What song did Yuriko and Wolfgang decide to perform together after watching the drum tutorial?,Null,4,4,0,"[""Yuriko"", ""Wolfgang"", ""drum tutorial"", ""song""]",[]
"What type of feedback did Li Hua provide to Chae regarding the community medical knowledge lecture, and what is Wolfgang's role in the band rehearsal?",Null,5,5,0,"[""Li Hua"", ""Chae"", ""community medical knowledge lecture"", ""Wolfgang"", ""band rehearsal""]",[]
What is the name of the last song Wolfgang played using the new drum practice app?,Null,3,3,0,"[""Wolfgang"", ""song"", ""drum practice app""]",[]
What flavor of new bread products did Li Hua really enjoy at the bakery's anniversary event?,Null,5,5,0,"[""Li Hua"", ""bakery"", ""anniversary event"", ""new bread products"", ""flavor""]",[]
What is the name of the song that Li Hua will sing at the karaoke on 20260425?,Null,4,4,0,"[""Li Hua"", ""song"", ""karaoke"", ""20260425""]",[]
What flavor of cake did Hailey plan to bake for the bakery's anniversary celebration in February?,Null,5,5,0,"[""Hailey"", ""bakery"", ""anniversary celebration"", ""February"", ""cake""]",[]
What type of dessert did Wolfgang plan to order for Li Hua during their dinner celebration?,Null,4,4,0,"[""Wolfgang"", ""Li Hua"", ""dinner celebration"", ""dessert""]",[]
What were Raze's personal reasons for becoming a fitness coach before discussing pull-up techniques?,Null,3,3,0,"[""Raze"", ""fitness coach"", ""pull-up techniques""]",[]
"What new species of flowers will be featured in the community garden renovation, according to the feedback provided by Li Hua during the progress reports?",Null,5,5,0,"[""flowers"", ""community garden renovation"", ""feedback"", ""Li Hua"", ""progress reports""]",[]
What specific construction projects were discussed at the meeting between Turalyon and the residents regarding noise control?,Null,5,5,0,"[""Turalyon"", ""residents"", ""construction projects"", ""noise control"", ""meeting""]",[]
What is the amount of rent Li Hua owes to Adam Smith for the months of April and May?,Null,5,5,0,"[""Li Hua"", ""Adam Smith"", ""April"", ""May"", ""rent""]",[]
What song did Li Hua perform at the local music festival in 2026?,Null,4,4,0,"[""Li Hua"", ""song"", ""local music festival"", ""2026""]",[]
"What is the name of the restaurant where Li Hua and Wolfgang had dinner on the night of June 9, 2026?",Null,5,5,0,"[""Li Hua"", ""Wolfgang"", ""June 9, 2026"", ""dinner"", ""restaurant""]",[]
What is the nutritional value of the new line of high-protein breads compared to traditional white bread?,Null,3,3,0,"[""high-protein breads"", ""traditional white bread"", ""nutritional value""]",[]
What specific sleep techniques did Li Hua use to improve her study habits after reading the neuroscience article and discussing the warm shower with Chae?,Null,6,5,1,"[""Li Hua"", ""sleep techniques"", ""study habits"", ""neuroscience article"", ""warm shower""]","[""Chae""]"
What type of special dietary restrictions does Li Hua follow when preparing meals for his family?,Null,4,4,0,"[""Li Hua"", ""dietary restrictions"", ""meals"", ""family""]",[]
"What is the total cost of the air conditioner installation, including labor and materials, if Li Hua had previously discussed a budget of $2,000 with a different contractor?",Null,7,5,2,"[""air conditioner installation"", ""labor"", ""materials"", ""Li Hua"", ""budget""]","[""$2,000"", ""contractor""]"
What type of fusion music does Wolfgang Schulz plan to create with Li Hua during their weekend trip to the music store?,Null,5,5,0,"[""Wolfgang Schulz"", ""Li Hua"", ""weekend trip"", ""music store"", ""fusion music""]",[]
What type of flowers were planted in the garden based on the residents' suggestions discussed by Turalyon?,Null,5,5,0,"[""flowers"", ""garden"", ""residents"", ""suggestions"", ""Turalyon""]",[]
"What type of air-conditioner did Li Hua select for Adam's living room, and how does its temperature regulation compare to the one in the basement?",Null,6,5,1,"[""Li Hua"", ""Adam"", ""living room"", ""air-conditioner"", ""basement""]","[""temperature regulation""]"
What were Li Hua's specific fitness goals and how did Jennifer's advice on nutrition influence them during his training for a marathon?,Null,5,5,0,"[""Li Hua"", ""Jennifer"", ""fitness goals"", ""nutrition"", ""marathon training""]",[]
What are the sales figures for the PS5 exclusive games released in 2026 that Thane discussed with group members?,Null,6,5,1,"[""PS5"", ""exclusive games"", ""2026"", ""Thane"", ""group members""]","[""sales figures""]"
"What specific techniques did Li Hua use to prepare for a marathon race that took place on September 1, 2026?",Null,3,3,0,"[""Li Hua"", ""marathon race"", ""September 1, 2026""]",[]
What food did Emily order for the group's discussion about Game of Thrones characters?,Null,4,4,0,"[""Emily"", ""food"", ""group's discussion"", ""Game of Thrones characters""]",[]
"What type of protein supplements did Li Hua use after the workout on September 19, 2026?",Null,4,4,0,"[""protein supplements"", ""Li Hua"", ""workout"", ""September 19, 2026""]",[]
What color was the curtain that Li Hua chose for his living room?,Null,3,3,0,"[""Li Hua"", ""curtain"", ""living room""]",[]
What specific measurements did Li Hua take for the window size before the installation of the curtain?,Null,5,5,0,"[""Li Hua"", ""window size"", ""curtain"", ""measurements"", ""installation""]",[]
What is Thane's favorite type of food that he enjoys while playing video games?,Null,3,3,0,"[""Thane"", ""favorite type of food"", ""video games""]",[]
What were the specific details of the negotiation between Jake Watson and Li Hua regarding player transfers from FC Barcelona to FC Bayern Munich?,Null,5,5,0,"[""Jake Watson"", ""Li Hua"", ""FC Barcelona"", ""FC Bayern Munich"", ""player transfers""]",[]
What was the final match score of the 2025 UEFA Champions League final?,Null,2,2,0,"[""2025 UEFA Champions League final"", ""final match score""]",[]
What was the exact date and time when Cersei Lannister first met Jaime Lannister in the Game of Thrones series?,Null,3,3,0,"[""Cersei Lannister"", ""Jaime Lannister"", ""Game of Thrones""]",[]
What type of dessert did Wolfgang plan to have with Li Hua after their hot pot dinner on a different day?,Null,4,4,0,"[""Wolfgang"", ""Li Hua"", ""hot pot dinner"", ""dessert""]",[]
What did Jennifer say to Li Hua about their plan for a team swimming competition in December?,Null,4,4,0,"[""Jennifer"", ""Li Hua"", ""team swimming competition"", ""December""]",[]
What strategy did Li Hua use to score a goal in the championship match against their rival team?,Null,4,4,0,"[""Li Hua"", ""goal"", ""championship match"", ""rival team""]",[]
What is Li Hua's favorite type of exercise outside of pull-ups?,Null,3,3,0,"[""Li Hua"", ""exercise"", ""pull-ups""]",[]
What time did Chae first suggest they visit the music festival in the morning?,Null,3,3,0,"[""Chae"", ""music festival"", ""morning""]",[]
What are the reasons behind Jennifer and Li Hua's decision to change their training routine for the following month?,Null,4,4,0,"[""Jennifer"", ""Li Hua"", ""training routine"", ""following month""]",[]
What specific gifts did Wolfgang buy for Li Hua during his trip to Hong Kong?,Null,4,4,0,"[""Wolfgang"", ""Li Hua"", ""Hong Kong"", ""gifts""]",[]
